order_month,total_units_ordered,active_skus,avg_units_per_active_sku
2019-01,10450.5,54,193.53
2019-02,235221.25,199,1182.02
2019-03,454572.23,204,2228.3
2019-04,429871.58,201,2138.66
2019-05,547787.55,205,2672.13
2019-06,361314.67,206,1753.95
2019-07,516011.65,203,2541.93
2019-08,721182.26,269,2680.97
2019-09,1090107.62,266,4098.15
2019-10,1328430.51,266,4994.1
2019-11,1404483.92,265,5299.94
2019-12,1148991.33,259,4436.26
2020-01,1112198.34,262,4245.03
2020-02,1121435.96,269,4168.91
2020-03,1148914.11,258,4453.16
2020-04,1168086.15,267,4374.85
2020-05,1244803.93,270,4610.38
2020-06,636048.83,255,2494.31
